INPUT_TABLE,,,,,
Variable ID,,,,,
GlobalIntTechOMvar,,,,,
,,,,,
sector.name,subsector.name,intermittent.technology,year,input.OM.var,OM.var
electricity,offshore wind,offshore wind 7,1975,OM-var,2.28
electricity,offshore wind,offshore wind 7,1990,OM-var,2.28
electricity,offshore wind,offshore wind 7,2005,OM-var,2.28
electricity,offshore wind,offshore wind 7,2010,OM-var,0
electricity,offshore wind,offshore wind 7,2015,OM-var,0
electricity,offshore wind,offshore wind 7,2020,OM-var,0
electricity,offshore wind,offshore wind 7,2025,OM-var,0
electricity,offshore wind,offshore wind 7,2030,OM-var,0
electricity,offshore wind,offshore wind 7,2035,OM-var,0
electricity,offshore wind,offshore wind 7,2040,OM-var,0
electricity,offshore wind,offshore wind 7,2045,OM-var,0
electricity,offshore wind,offshore wind 7,2050,OM-var,0
electricity,offshore wind,offshore wind 7,2055,OM-var,0
electricity,offshore wind,offshore wind 7,2060,OM-var,0
electricity,offshore wind,offshore wind 7,2065,OM-var,0
electricity,offshore wind,offshore wind 7,2070,OM-var,0
electricity,offshore wind,offshore wind 7,2075,OM-var,0
electricity,offshore wind,offshore wind 7,2080,OM-var,0
electricity,offshore wind,offshore wind 7,2085,OM-var,0
electricity,offshore wind,offshore wind 7,2090,OM-var,0
electricity,offshore wind,offshore wind 7,2095,OM-var,0
electricity,offshore wind,offshore wind 7,2100,OM-var,0
