INPUT_TABLE,,,,
Variable ID,,,,
GlobalIntTechLifetime,,,,
,,,,
sector.name,subsector.name,intermittent.technology,year,lifetime
electricity,offshore wind,offshore wind c5,2010,30
electricity,offshore wind,offshore wind c5,2015,30
electricity,offshore wind,offshore wind c5,2020,30
electricity,offshore wind,offshore wind c5,2025,30
electricity,offshore wind,offshore wind c5,2030,30
electricity,offshore wind,offshore wind c5,2035,30
electricity,offshore wind,offshore wind c5,2040,30
electricity,offshore wind,offshore wind c5,2045,30
electricity,offshore wind,offshore wind c5,2050,30
electricity,offshore wind,offshore wind c5,2055,30
electricity,offshore wind,offshore wind c5,2060,30
electricity,offshore wind,offshore wind c5,2065,30
electricity,offshore wind,offshore wind c5,2070,30
electricity,offshore wind,offshore wind c5,2075,30
electricity,offshore wind,offshore wind c5,2080,30
electricity,offshore wind,offshore wind c5,2085,30
electricity,offshore wind,offshore wind c5,2090,30
electricity,offshore wind,offshore wind c5,2095,30
electricity,offshore wind,offshore wind c5,2100,30
