INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
GlobalTechCapital,,,,,,,
,,,,,,,
sector.name,subsector.name,technology,year,input.capital,capital.overnight,fixed.charge.rate,capacity.factor
electricity,offshore wind,offshore_wind_storage_2,1975,capital,2229.0411,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,1990,capital,2229.0411,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,2005,capital,2229.0411,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,2010,capital,2229.0411,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,2015,capital,2229.0411,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,2020,capital,1671.780825,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,2025,capital,1253.835619,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,2030,capital,940.3767142,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,2035,capital,893.3578785,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,2040,capital,848.6899846,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,2045,capital,806.2554853,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,2050,capital,765.9427111,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,2055,capital,727.6455755,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,2060,capital,691.2632967,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,2065,capital,656.7001319,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,2070,capital,623.8651253,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,2075,capital,592.671869,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,2080,capital,563.0382756,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,2085,capital,534.8863618,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,2090,capital,508.1420437,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,2095,capital,482.7349415,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,2100,capital,458.5981945,0.13,0.307809159
