INPUT_TABLE,,,,,,
Variable ID,,,,,,
GlobalTechOMfixed,,,,,,
,,,,,,
sector.name,subsector.name,technology,year,input.OM.fixed,OM.fixed,capacity.factor
electricity,offshore wind,offshore_wind_storage_c89,1975,OM-fixed,34.50877598,0.604352985
electricity,offshore wind,offshore_wind_storage_c89,1990,OM-fixed,34.50877598,0.604352985
electricity,offshore wind,offshore_wind_storage_c89,2005,OM-fixed,34.50877598,0.604352985
electricity,offshore wind,offshore_wind_storage_c89,2010,OM-fixed,34.50877598,0.604352985
electricity,offshore wind,offshore_wind_storage_c89,2015,OM-fixed,34.50877598,0.604352985
electricity,offshore wind,offshore_wind_storage_c89,2020,OM-fixed,25.88158199,0.604352985
electricity,offshore wind,offshore_wind_storage_c89,2025,OM-fixed,19.41118649,0.604352985
electricity,offshore wind,offshore_wind_storage_c89,2030,OM-fixed,14.55838987,0.604352985
electricity,offshore wind,offshore_wind_storage_c89,2035,OM-fixed,13.83047037,0.604352985
electricity,offshore wind,offshore_wind_storage_c89,2040,OM-fixed,13.13894686,0.604352985
electricity,offshore wind,offshore_wind_storage_c89,2045,OM-fixed,12.48199951,0.604352985
electricity,offshore wind,offshore_wind_storage_c89,2050,OM-fixed,11.85789954,0.604352985
electricity,offshore wind,offshore_wind_storage_c89,2055,OM-fixed,11.26500456,0.604352985
electricity,offshore wind,offshore_wind_storage_c89,2060,OM-fixed,10.70175433,0.604352985
electricity,offshore wind,offshore_wind_storage_c89,2065,OM-fixed,10.16666662,0.604352985
electricity,offshore wind,offshore_wind_storage_c89,2070,OM-fixed,9.658333285,0.604352985
electricity,offshore wind,offshore_wind_storage_c89,2075,OM-fixed,9.17541662,0.604352985
electricity,offshore wind,offshore_wind_storage_c89,2080,OM-fixed,8.716645789,0.604352985
electricity,offshore wind,offshore_wind_storage_c89,2085,OM-fixed,8.2808135,0.604352985
electricity,offshore wind,offshore_wind_storage_c89,2090,OM-fixed,7.866772825,0.604352985
electricity,offshore wind,offshore_wind_storage_c89,2095,OM-fixed,7.473434184,0.604352985
electricity,offshore wind,offshore_wind_storage_c89,2100,OM-fixed,7.099762474,0.604352985
