INPUT_TABLE,,,,,
Variable ID,,,,,
GlobalTechEff,,,,,
,,,,,
sector.name,subsector.name,technology,year,minicam.energy.input,efficiency
electricity,offshore wind,offshore_wind_storage_c6,1975,offshore wind resource c6,0.96
electricity,offshore wind,offshore_wind_storage_c6,1990,offshore wind resource c6,0.96
electricity,offshore wind,offshore_wind_storage_c6,2005,offshore wind resource c6,0.96
electricity,offshore wind,offshore_wind_storage_c6,2010,offshore wind resource c6,0.96
electricity,offshore wind,offshore_wind_storage_c6,2015,offshore wind resource c6,0.96
electricity,offshore wind,offshore_wind_storage_c6,2020,offshore wind resource c6,0.96
electricity,offshore wind,offshore_wind_storage_c6,2025,offshore wind resource c6,0.96
electricity,offshore wind,offshore_wind_storage_c6,2030,offshore wind resource c6,0.96
electricity,offshore wind,offshore_wind_storage_c6,2035,offshore wind resource c6,0.96
electricity,offshore wind,offshore_wind_storage_c6,2040,offshore wind resource c6,0.96
electricity,offshore wind,offshore_wind_storage_c6,2045,offshore wind resource c6,0.96
electricity,offshore wind,offshore_wind_storage_c6,2050,offshore wind resource c6,0.96
electricity,offshore wind,offshore_wind_storage_c6,2055,offshore wind resource c6,0.96
electricity,offshore wind,offshore_wind_storage_c6,2060,offshore wind resource c6,0.96
electricity,offshore wind,offshore_wind_storage_c6,2065,offshore wind resource c6,0.96
electricity,offshore wind,offshore_wind_storage_c6,2070,offshore wind resource c6,0.96
electricity,offshore wind,offshore_wind_storage_c6,2075,offshore wind resource c6,0.96
electricity,offshore wind,offshore_wind_storage_c6,2080,offshore wind resource c6,0.96
electricity,offshore wind,offshore_wind_storage_c6,2085,offshore wind resource c6,0.96
electricity,offshore wind,offshore_wind_storage_c6,2090,offshore wind resource c6,0.96
electricity,offshore wind,offshore_wind_storage_c6,2095,offshore wind resource c6,0.96
electricity,offshore wind,offshore_wind_storage_c6,2100,offshore wind resource c6,0.96
