INPUT_TABLE,,,,
Variable ID,,,,
GlobalTechLifetime,,,,
,,,,
sector.name,subsector.name,technology,year,lifetime
electricity,offshore wind,offshore_wind_storage_5,2015,30
electricity,offshore wind,offshore_wind_storage_5,2020,30
electricity,offshore wind,offshore_wind_storage_5,2025,30
electricity,offshore wind,offshore_wind_storage_5,2030,30
electricity,offshore wind,offshore_wind_storage_5,2035,30
electricity,offshore wind,offshore_wind_storage_5,2040,30
electricity,offshore wind,offshore_wind_storage_5,2045,30
electricity,offshore wind,offshore_wind_storage_5,2050,30
electricity,offshore wind,offshore_wind_storage_5,2055,30
electricity,offshore wind,offshore_wind_storage_5,2060,30
electricity,offshore wind,offshore_wind_storage_5,2065,30
electricity,offshore wind,offshore_wind_storage_5,2070,30
electricity,offshore wind,offshore_wind_storage_5,2075,30
electricity,offshore wind,offshore_wind_storage_5,2080,30
electricity,offshore wind,offshore_wind_storage_5,2085,30
electricity,offshore wind,offshore_wind_storage_5,2090,30
electricity,offshore wind,offshore_wind_storage_5,2095,30
electricity,offshore wind,offshore_wind_storage_5,2100,30
