INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
GlobalTechCapital,,,,,,,
,,,,,,,
sector.name,subsector.name,technology,year,input.capital,capital.overnight,fixed.charge.rate,capacity.factor
electricity,offshore wind,offshore_wind_storage_2,1975,capital,2229.0411,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,1990,capital,2229.0411,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,2005,capital,2229.0411,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,2010,capital,2229.0411,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,2015,capital,2229.0411,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,2020,capital,2131.969956,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,2025,capital,2052.874949,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,2030,capital,1980.970397,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,2035,capital,1923.446756,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,2040,capital,1873.11357,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,2045,capital,1826.375611,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,2050,capital,1790.423335,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,2055,capital,1758.066287,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,2060,capital,1729.304467,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,2065,capital,1704.137873,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,2070,capital,1686.161736,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,2075,capital,1668.185598,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,2080,capital,1650.20946,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,2085,capital,1639.423777,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,2090,capital,1628.638094,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,2095,capital,1617.852412,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_2,2100,capital,1610.661956,0.13,0.307809159
