INPUT_TABLE,,,,,,
Variable ID,,,,,,
StubTechMarket,,,,,,
,,,,,,
region,supplysector,subsector,stub.technology,year,minicam.energy.input,market.name
CA,electricity,offshore wind,offshore wind 1,1975,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 1,1990,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 1,2005,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 1,2010,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 1,2015,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 1,2020,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 1,2025,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 1,2030,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 1,2035,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 1,2040,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 1,2045,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 1,2050,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 1,2055,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 1,2060,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 1,2065,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 1,2070,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 1,2075,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 1,2080,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 1,2085,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 1,2090,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 1,2095,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 1,2100,backup_electricity,USA
CT,electricity,offshore wind,offshore wind 1,1975,backup_electricity,USA
CT,electricity,offshore wind,offshore wind 1,1990,backup_electricity,USA
CT,electricity,offshore wind,offshore wind 1,2005,backup_electricity,USA
CT,electricity,offshore wind,offshore wind 1,2010,backup_electricity,USA
CT,electricity,offshore wind,offshore wind 1,2015,backup_electricity,USA
CT,electricity,offshore wind,offshore wind 1,2020,backup_electricity,USA
CT,electricity,offshore wind,offshore wind 1,2025,backup_electricity,USA
CT,electricity,offshore wind,offshore wind 1,2030,backup_electricity,USA
CT,electricity,offshore wind,offshore wind 1,2035,backup_electricity,USA
CT,electricity,offshore wind,offshore wind 1,2040,backup_electricity,USA
CT,electricity,offshore wind,offshore wind 1,2045,backup_electricity,USA
CT,electricity,offshore wind,offshore wind 1,2050,backup_electricity,USA
CT,electricity,offshore wind,offshore wind 1,2055,backup_electricity,USA
CT,electricity,offshore wind,offshore wind 1,2060,backup_electricity,USA
CT,electricity,offshore wind,offshore wind 1,2065,backup_electricity,USA
CT,electricity,offshore wind,offshore wind 1,2070,backup_electricity,USA
CT,electricity,offshore wind,offshore wind 1,2075,backup_electricity,USA
CT,electricity,offshore wind,offshore wind 1,2080,backup_electricity,USA
CT,electricity,offshore wind,offshore wind 1,2085,backup_electricity,USA
CT,electricity,offshore wind,offshore wind 1,2090,backup_electricity,USA
CT,electricity,offshore wind,offshore wind 1,2095,backup_electricity,USA
CT,electricity,offshore wind,offshore wind 1,2100,backup_electricity,USA
DE,electricity,offshore wind,offshore wind 1,1975,backup_electricity,USA
DE,electricity,offshore wind,offshore wind 1,1990,backup_electricity,USA
DE,electricity,offshore wind,offshore wind 1,2005,backup_electricity,USA
DE,electricity,offshore wind,offshore wind 1,2010,backup_electricity,USA
DE,electricity,offshore wind,offshore wind 1,2015,backup_electricity,USA
DE,electricity,offshore wind,offshore wind 1,2020,backup_electricity,USA
DE,electricity,offshore wind,offshore wind 1,2025,backup_electricity,USA
DE,electricity,offshore wind,offshore wind 1,2030,backup_electricity,USA
DE,electricity,offshore wind,offshore wind 1,2035,backup_electricity,USA
DE,electricity,offshore wind,offshore wind 1,2040,backup_electricity,USA
DE,electricity,offshore wind,offshore wind 1,2045,backup_electricity,USA
DE,electricity,offshore wind,offshore wind 1,2050,backup_electricity,USA
DE,electricity,offshore wind,offshore wind 1,2055,backup_electricity,USA
DE,electricity,offshore wind,offshore wind 1,2060,backup_electricity,USA
DE,electricity,offshore wind,offshore wind 1,2065,backup_electricity,USA
DE,electricity,offshore wind,offshore wind 1,2070,backup_electricity,USA
DE,electricity,offshore wind,offshore wind 1,2075,backup_electricity,USA
DE,electricity,offshore wind,offshore wind 1,2080,backup_electricity,USA
DE,electricity,offshore wind,offshore wind 1,2085,backup_electricity,USA
DE,electricity,offshore wind,offshore wind 1,2090,backup_electricity,USA
DE,electricity,offshore wind,offshore wind 1,2095,backup_electricity,USA
DE,electricity,offshore wind,offshore wind 1,2100,backup_electricity,USA
GA,electricity,offshore wind,offshore wind 1,1975,backup_electricity,USA
GA,electricity,offshore wind,offshore wind 1,1990,backup_electricity,USA
GA,electricity,offshore wind,offshore wind 1,2005,backup_electricity,USA
GA,electricity,offshore wind,offshore wind 1,2010,backup_electricity,USA
GA,electricity,offshore wind,offshore wind 1,2015,backup_electricity,USA
GA,electricity,offshore wind,offshore wind 1,2020,backup_electricity,USA
GA,electricity,offshore wind,offshore wind 1,2025,backup_electricity,USA
GA,electricity,offshore wind,offshore wind 1,2030,backup_electricity,USA
GA,electricity,offshore wind,offshore wind 1,2035,backup_electricity,USA
GA,electricity,offshore wind,offshore wind 1,2040,backup_electricity,USA
GA,electricity,offshore wind,offshore wind 1,2045,backup_electricity,USA
GA,electricity,offshore wind,offshore wind 1,2050,backup_electricity,USA
GA,electricity,offshore wind,offshore wind 1,2055,backup_electricity,USA
GA,electricity,offshore wind,offshore wind 1,2060,backup_electricity,USA
GA,electricity,offshore wind,offshore wind 1,2065,backup_electricity,USA
GA,electricity,offshore wind,offshore wind 1,2070,backup_electricity,USA
GA,electricity,offshore wind,offshore wind 1,2075,backup_electricity,USA
GA,electricity,offshore wind,offshore wind 1,2080,backup_electricity,USA
GA,electricity,offshore wind,offshore wind 1,2085,backup_electricity,USA
GA,electricity,offshore wind,offshore wind 1,2090,backup_electricity,USA
GA,electricity,offshore wind,offshore wind 1,2095,backup_electricity,USA
GA,electricity,offshore wind,offshore wind 1,2100,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 1,1975,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 1,1990,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 1,2005,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 1,2010,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 1,2015,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 1,2020,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 1,2025,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 1,2030,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 1,2035,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 1,2040,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 1,2045,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 1,2050,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 1,2055,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 1,2060,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 1,2065,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 1,2070,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 1,2075,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 1,2080,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 1,2085,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 1,2090,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 1,2095,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 1,2100,backup_electricity,USA
IL,electricity,offshore wind,offshore wind 1,1975,backup_electricity,USA
IL,electricity,offshore wind,offshore wind 1,1990,backup_electricity,USA
IL,electricity,offshore wind,offshore wind 1,2005,backup_electricity,USA
IL,electricity,offshore wind,offshore wind 1,2010,backup_electricity,USA
IL,electricity,offshore wind,offshore wind 1,2015,backup_electricity,USA
IL,electricity,offshore wind,offshore wind 1,2020,backup_electricity,USA
IL,electricity,offshore wind,offshore wind 1,2025,backup_electricity,USA
IL,electricity,offshore wind,offshore wind 1,2030,backup_electricity,USA
IL,electricity,offshore wind,offshore wind 1,2035,backup_electricity,USA
IL,electricity,offshore wind,offshore wind 1,2040,backup_electricity,USA
IL,electricity,offshore wind,offshore wind 1,2045,backup_electricity,USA
IL,electricity,offshore wind,offshore wind 1,2050,backup_electricity,USA
IL,electricity,offshore wind,offshore wind 1,2055,backup_electricity,USA
IL,electricity,offshore wind,offshore wind 1,2060,backup_electricity,USA
IL,electricity,offshore wind,offshore wind 1,2065,backup_electricity,USA
IL,electricity,offshore wind,offshore wind 1,2070,backup_electricity,USA
IL,electricity,offshore wind,offshore wind 1,2075,backup_electricity,USA
IL,electricity,offshore wind,offshore wind 1,2080,backup_electricity,USA
IL,electricity,offshore wind,offshore wind 1,2085,backup_electricity,USA
IL,electricity,offshore wind,offshore wind 1,2090,backup_electricity,USA
IL,electricity,offshore wind,offshore wind 1,2095,backup_electricity,USA
IL,electricity,offshore wind,offshore wind 1,2100,backup_electricity,USA
