INPUT_TABLE,,,,,,
Variable ID,,,,,,
StubTechMarket,,,,,,
,,,,,,
region,supplysector,subsector,stub.technology,year,minicam.energy.input,market.name
MI,electricity,offshore wind,offshore wind 5,2065,backup_electricity,USA
MI,electricity,offshore wind,offshore wind 5,2070,backup_electricity,USA
MI,electricity,offshore wind,offshore wind 5,2075,backup_electricity,USA
MI,electricity,offshore wind,offshore wind 5,2080,backup_electricity,USA
MI,electricity,offshore wind,offshore wind 5,2085,backup_electricity,USA
MI,electricity,offshore wind,offshore wind 5,2090,backup_electricity,USA
MI,electricity,offshore wind,offshore wind 5,2095,backup_electricity,USA
MI,electricity,offshore wind,offshore wind 5,2100,backup_electricity,USA
NC,electricity,offshore wind,offshore wind 5,1975,backup_electricity,USA
NC,electricity,offshore wind,offshore wind 5,1990,backup_electricity,USA
NC,electricity,offshore wind,offshore wind 5,2005,backup_electricity,USA
NC,electricity,offshore wind,offshore wind 5,2010,backup_electricity,USA
NC,electricity,offshore wind,offshore wind 5,2015,backup_electricity,USA
NC,electricity,offshore wind,offshore wind 5,2020,backup_electricity,USA
NC,electricity,offshore wind,offshore wind 5,2025,backup_electricity,USA
NC,electricity,offshore wind,offshore wind 5,2030,backup_electricity,USA
NC,electricity,offshore wind,offshore wind 5,2035,backup_electricity,USA
NC,electricity,offshore wind,offshore wind 5,2040,backup_electricity,USA
NC,electricity,offshore wind,offshore wind 5,2045,backup_electricity,USA
NC,electricity,offshore wind,offshore wind 5,2050,backup_electricity,USA
NC,electricity,offshore wind,offshore wind 5,2055,backup_electricity,USA
NC,electricity,offshore wind,offshore wind 5,2060,backup_electricity,USA
NC,electricity,offshore wind,offshore wind 5,2065,backup_electricity,USA
NC,electricity,offshore wind,offshore wind 5,2070,backup_electricity,USA
NC,electricity,offshore wind,offshore wind 5,2075,backup_electricity,USA
NC,electricity,offshore wind,offshore wind 5,2080,backup_electricity,USA
NC,electricity,offshore wind,offshore wind 5,2085,backup_electricity,USA
NC,electricity,offshore wind,offshore wind 5,2090,backup_electricity,USA
NC,electricity,offshore wind,offshore wind 5,2095,backup_electricity,USA
NC,electricity,offshore wind,offshore wind 5,2100,backup_electricity,USA
NH,electricity,offshore wind,offshore wind 5,1975,backup_electricity,USA
NH,electricity,offshore wind,offshore wind 5,1990,backup_electricity,USA
NH,electricity,offshore wind,offshore wind 5,2005,backup_electricity,USA
NH,electricity,offshore wind,offshore wind 5,2010,backup_electricity,USA
NH,electricity,offshore wind,offshore wind 5,2015,backup_electricity,USA
NH,electricity,offshore wind,offshore wind 5,2020,backup_electricity,USA
NH,electricity,offshore wind,offshore wind 5,2025,backup_electricity,USA
NH,electricity,offshore wind,offshore wind 5,2030,backup_electricity,USA
NH,electricity,offshore wind,offshore wind 5,2035,backup_electricity,USA
NH,electricity,offshore wind,offshore wind 5,2040,backup_electricity,USA
NH,electricity,offshore wind,offshore wind 5,2045,backup_electricity,USA
NH,electricity,offshore wind,offshore wind 5,2050,backup_electricity,USA
NH,electricity,offshore wind,offshore wind 5,2055,backup_electricity,USA
NH,electricity,offshore wind,offshore wind 5,2060,backup_electricity,USA
NH,electricity,offshore wind,offshore wind 5,2065,backup_electricity,USA
NH,electricity,offshore wind,offshore wind 5,2070,backup_electricity,USA
NH,electricity,offshore wind,offshore wind 5,2075,backup_electricity,USA
NH,electricity,offshore wind,offshore wind 5,2080,backup_electricity,USA
NH,electricity,offshore wind,offshore wind 5,2085,backup_electricity,USA
NH,electricity,offshore wind,offshore wind 5,2090,backup_electricity,USA
NH,electricity,offshore wind,offshore wind 5,2095,backup_electricity,USA
NH,electricity,offshore wind,offshore wind 5,2100,backup_electricity,USA
NY,electricity,offshore wind,offshore wind 5,1975,backup_electricity,USA
NY,electricity,offshore wind,offshore wind 5,1990,backup_electricity,USA
NY,electricity,offshore wind,offshore wind 5,2005,backup_electricity,USA
NY,electricity,offshore wind,offshore wind 5,2010,backup_electricity,USA
NY,electricity,offshore wind,offshore wind 5,2015,backup_electricity,USA
NY,electricity,offshore wind,offshore wind 5,2020,backup_electricity,USA
NY,electricity,offshore wind,offshore wind 5,2025,backup_electricity,USA
NY,electricity,offshore wind,offshore wind 5,2030,backup_electricity,USA
NY,electricity,offshore wind,offshore wind 5,2035,backup_electricity,USA
NY,electricity,offshore wind,offshore wind 5,2040,backup_electricity,USA
NY,electricity,offshore wind,offshore wind 5,2045,backup_electricity,USA
NY,electricity,offshore wind,offshore wind 5,2050,backup_electricity,USA
NY,electricity,offshore wind,offshore wind 5,2055,backup_electricity,USA
NY,electricity,offshore wind,offshore wind 5,2060,backup_electricity,USA
NY,electricity,offshore wind,offshore wind 5,2065,backup_electricity,USA
NY,electricity,offshore wind,offshore wind 5,2070,backup_electricity,USA
NY,electricity,offshore wind,offshore wind 5,2075,backup_electricity,USA
NY,electricity,offshore wind,offshore wind 5,2080,backup_electricity,USA
NY,electricity,offshore wind,offshore wind 5,2085,backup_electricity,USA
NY,electricity,offshore wind,offshore wind 5,2090,backup_electricity,USA
NY,electricity,offshore wind,offshore wind 5,2095,backup_electricity,USA
NY,electricity,offshore wind,offshore wind 5,2100,backup_electricity,USA
OR,electricity,offshore wind,offshore wind 5,1975,backup_electricity,USA
OR,electricity,offshore wind,offshore wind 5,1990,backup_electricity,USA
OR,electricity,offshore wind,offshore wind 5,2005,backup_electricity,USA
OR,electricity,offshore wind,offshore wind 5,2010,backup_electricity,USA
OR,electricity,offshore wind,offshore wind 5,2015,backup_electricity,USA
OR,electricity,offshore wind,offshore wind 5,2020,backup_electricity,USA
OR,electricity,offshore wind,offshore wind 5,2025,backup_electricity,USA
OR,electricity,offshore wind,offshore wind 5,2030,backup_electricity,USA
OR,electricity,offshore wind,offshore wind 5,2035,backup_electricity,USA
OR,electricity,offshore wind,offshore wind 5,2040,backup_electricity,USA
OR,electricity,offshore wind,offshore wind 5,2045,backup_electricity,USA
OR,electricity,offshore wind,offshore wind 5,2050,backup_electricity,USA
OR,electricity,offshore wind,offshore wind 5,2055,backup_electricity,USA
OR,electricity,offshore wind,offshore wind 5,2060,backup_electricity,USA
OR,electricity,offshore wind,offshore wind 5,2065,backup_electricity,USA
OR,electricity,offshore wind,offshore wind 5,2070,backup_electricity,USA
OR,electricity,offshore wind,offshore wind 5,2075,backup_electricity,USA
OR,electricity,offshore wind,offshore wind 5,2080,backup_electricity,USA
OR,electricity,offshore wind,offshore wind 5,2085,backup_electricity,USA
OR,electricity,offshore wind,offshore wind 5,2090,backup_electricity,USA
OR,electricity,offshore wind,offshore wind 5,2095,backup_electricity,USA
OR,electricity,offshore wind,offshore wind 5,2100,backup_electricity,USA
RI,electricity,offshore wind,offshore wind 5,1975,backup_electricity,USA
RI,electricity,offshore wind,offshore wind 5,1990,backup_electricity,USA
RI,electricity,offshore wind,offshore wind 5,2005,backup_electricity,USA
RI,electricity,offshore wind,offshore wind 5,2010,backup_electricity,USA
RI,electricity,offshore wind,offshore wind 5,2015,backup_electricity,USA
RI,electricity,offshore wind,offshore wind 5,2020,backup_electricity,USA
RI,electricity,offshore wind,offshore wind 5,2025,backup_electricity,USA
RI,electricity,offshore wind,offshore wind 5,2030,backup_electricity,USA
RI,electricity,offshore wind,offshore wind 5,2035,backup_electricity,USA
RI,electricity,offshore wind,offshore wind 5,2040,backup_electricity,USA
RI,electricity,offshore wind,offshore wind 5,2045,backup_electricity,USA
RI,electricity,offshore wind,offshore wind 5,2050,backup_electricity,USA
RI,electricity,offshore wind,offshore wind 5,2055,backup_electricity,USA
RI,electricity,offshore wind,offshore wind 5,2060,backup_electricity,USA
RI,electricity,offshore wind,offshore wind 5,2065,backup_electricity,USA
RI,electricity,offshore wind,offshore wind 5,2070,backup_electricity,USA
RI,electricity,offshore wind,offshore wind 5,2075,backup_electricity,USA
RI,electricity,offshore wind,offshore wind 5,2080,backup_electricity,USA
RI,electricity,offshore wind,offshore wind 5,2085,backup_electricity,USA
RI,electricity,offshore wind,offshore wind 5,2090,backup_electricity,USA
RI,electricity,offshore wind,offshore wind 5,2095,backup_electricity,USA
RI,electricity,offshore wind,offshore wind 5,2100,backup_electricity,USA
