INPUT_TABLE,,,,,,
Variable ID,,,,,,
GlobalTechOMfixed,,,,,,
,,,,,,
sector.name,subsector.name,technology,year,input.OM.fixed,OM.fixed,capacity.factor
electricity,offshore wind,offshore_wind_storage_4,1975,OM-fixed,166.373,0.376336415
electricity,offshore wind,offshore_wind_storage_4,1990,OM-fixed,166.373,0.376336415
electricity,offshore wind,offshore_wind_storage_4,2005,OM-fixed,166.373,0.376336415
electricity,offshore wind,offshore_wind_storage_4,2010,OM-fixed,166.373,0.376336415
electricity,offshore wind,offshore_wind_storage_4,2015,OM-fixed,166.373,0.376336415
electricity,offshore wind,offshore_wind_storage_4,2020,OM-fixed,124.77975,0.376336415
electricity,offshore wind,offshore_wind_storage_4,2025,OM-fixed,93.5848125,0.376336415
electricity,offshore wind,offshore_wind_storage_4,2030,OM-fixed,70.18860938,0.376336415
electricity,offshore wind,offshore_wind_storage_4,2035,OM-fixed,66.67917891,0.376336415
electricity,offshore wind,offshore_wind_storage_4,2040,OM-fixed,63.34521996,0.376336415
electricity,offshore wind,offshore_wind_storage_4,2045,OM-fixed,60.17795896,0.376336415
electricity,offshore wind,offshore_wind_storage_4,2050,OM-fixed,57.16906101,0.376336415
electricity,offshore wind,offshore_wind_storage_4,2055,OM-fixed,54.31060796,0.376336415
electricity,offshore wind,offshore_wind_storage_4,2060,OM-fixed,51.59507757,0.376336415
electricity,offshore wind,offshore_wind_storage_4,2065,OM-fixed,49.01532369,0.376336415
electricity,offshore wind,offshore_wind_storage_4,2070,OM-fixed,46.5645575,0.376336415
electricity,offshore wind,offshore_wind_storage_4,2075,OM-fixed,44.23632963,0.376336415
electricity,offshore wind,offshore_wind_storage_4,2080,OM-fixed,42.02451315,0.376336415
electricity,offshore wind,offshore_wind_storage_4,2085,OM-fixed,39.92328749,0.376336415
electricity,offshore wind,offshore_wind_storage_4,2090,OM-fixed,37.92712311,0.376336415
electricity,offshore wind,offshore_wind_storage_4,2095,OM-fixed,36.03076696,0.376336415
electricity,offshore wind,offshore_wind_storage_4,2100,OM-fixed,34.22922861,0.376336415
